id	ObjecttypeVanID	AttribuutVan1ID	DomeinwaardeVan1ID	AttribuutVan2ID	DomeinwaardeVan2ID	AttribuutVan3ID	DomeinwaardeVan3ID	AttribuutVan4ID	DomeinwaardeVan4ID	InformatiemodelNaarID	ObjecttypeNaarID	AttribuutNaar1ID	DomeinwaardeNaar1ID	AttribuutNaar2ID	DomeinwaardeNaar2ID	AttribuutNaar3ID	DomeinwaardeNaar3ID	Toelichting
1787	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4129	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4542					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	fruitteelt	plus-fysiekVoorkomen	fruitteelt: laagstam boomgaarden			
1788	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4127	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4537					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	bouwland	plus-fysiekVoorkomen	bouwland: bollenteelt			
1789	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4127	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4539					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	bouwland	plus-fysiekVoorkomen	bouwland: vollegrondsteelt			
1790	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4136	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4681					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	loofbos	plus-fysiekVoorkomen	loofbos: griend en hakhout			
1791	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_871									IMGeo	FunctioneelGebied (IG)	plus-type	begraafplaats 					
1792	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_558									IMGeo	FunctioneelGebied (IG)	plus-type	benzinestation 					
1796	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_131									IMGeo	FunctioneelGebied (IG)	plus-type	carpoolplaats 					
1799	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_234									IMGeo	Straatmeubilair	bor-type	graf					
1801	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_132									IMGeo	FunctioneelGebied (IG)	plus-type	bushalte					
1804	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_382									IMGeo	FunctioneelGebied (IG)	bgt-type	kering					
1805	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_773									IMGeo	FunctioneelGebied (IG)	bor-type	kruispunt					
1808	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_874									IMGeo	FunctioneelGebied (IG)	plus-type	natuur en landschap 					
1810	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_796									IMGeo	FunctioneelGebied (IG)	bor-type	verzamelplaats					
